planner,strategy,fail_prob,seed,grid_size,success,steps,replans,planning_time_total,planning_time_avg,wallclock_time
HTN,lazy,0.0,0,5,True,15,1,0.0008480548858642578,0.0008480548858642578,0.0011
HTN,lazy,0.0,1,5,True,12,1,0.00047016143798828125,0.00047016143798828125,0.0006
HTN,lazy,0.0,2,5,True,10,1,0.00045490264892578125,0.00045490264892578125,0.0006
HTN,lazy,0.0,3,5,True,12,1,0.000507354736328125,0.000507354736328125,0.0007
HTN,lazy,0.0,4,5,True,13,1,0.00047087669372558594,0.00047087669372558594,0.0006
HTN,lazy,0.0,5,5,True,10,1,0.0003540515899658203,0.0003540515899658203,0.0005
HTN,lazy,0.0,6,5,True,10,1,0.0004239082336425781,0.0004239082336425781,0.0006
HTN,lazy,0.0,7,5,True,11,1,0.00043892860412597656,0.00043892860412597656,0.0006
HTN,lazy,0.0,8,5,True,15,1,0.0005559921264648438,0.0005559921264648438,0.0007
HTN,lazy,0.0,9,5,True,15,1,0.0006561279296875,0.0006561279296875,0.0008
HTN,lazy,0.0,10,5,False,0,2,0.00011301040649414062,5.650520324707031e-05,0.0001
HTN,lazy,0.0,11,5,True,16,1,0.0005781650543212891,0.0005781650543212891,0.0008
HTN,lazy,0.0,12,5,True,16,1,0.0005571842193603516,0.0005571842193603516,0.0007
HTN,lazy,0.0,13,5,True,15,1,0.00049591064453125,0.00049591064453125,0.0007
HTN,lazy,0.0,14,5,True,16,1,0.0006039142608642578,0.0006039142608642578,0.0008
HTN,lazy,0.0,15,5,True,15,1,0.00055694580078125,0.00055694580078125,0.0007
HTN,lazy,0.0,16,5,True,15,1,0.0005886554718017578,0.0005886554718017578,0.0008
HTN,lazy,0.0,17,5,True,11,1,0.0003819465637207031,0.0003819465637207031,0.0005
HTN,lazy,0.0,18,5,True,13,1,0.0004496574401855469,0.0004496574401855469,0.0006
HTN,lazy,0.0,19,5,True,8,1,0.0002827644348144531,0.0002827644348144531,0.0004
HTN,lazy,0.0,20,5,True,15,1,0.0005109310150146484,0.0005109310150146484,0.0007
HTN,lazy,0.0,21,5,True,13,1,0.0005421638488769531,0.0005421638488769531,0.0007
HTN,lazy,0.0,22,5,True,13,1,0.0004429817199707031,0.0004429817199707031,0.0006
HTN,lazy,0.0,23,5,True,15,1,0.0006122589111328125,0.0006122589111328125,0.0008
HTN,lazy,0.0,24,5,True,12,1,0.00043702125549316406,0.00043702125549316406,0.0006
HTN,lazy,0.0,25,5,True,18,1,0.0005929470062255859,0.0005929470062255859,0.0008
HTN,lazy,0.0,26,5,True,14,1,0.000530242919921875,0.000530242919921875,0.0007
HTN,lazy,0.0,27,5,True,12,1,0.0004241466522216797,0.0004241466522216797,0.0005
HTN,lazy,0.0,28,5,True,17,1,0.0005629062652587891,0.0005629062652587891,0.0007
HTN,lazy,0.0,29,5,True,17,1,0.0005528926849365234,0.0005528926849365234,0.0007
HTN,lazy,0.05,0,5,True,15,1,0.000553131103515625,0.000553131103515625,0.0007
HTN,lazy,0.05,1,5,True,13,2,0.0005979537963867188,0.0002989768981933594,0.0008
HTN,lazy,0.05,2,5,True,10,1,0.00045800209045410156,0.00045800209045410156,0.0006
HTN,lazy,0.05,3,5,True,13,2,0.0007560253143310547,0.00037801265716552734,0.0009
HTN,lazy,0.05,4,5,True,13,1,0.0005118846893310547,0.0005118846893310547,0.0007
HTN,lazy,0.05,5,5,True,11,2,0.0006151199340820312,0.0003075599670410156,0.0008
HTN,lazy,0.05,6,5,True,11,2,0.0006656646728515625,0.00033283233642578125,0.0008
HTN,lazy,0.05,7,5,True,12,2,0.0006361007690429688,0.0003180503845214844,0.0008
HTN,lazy,0.05,8,5,True,15,1,0.0006020069122314453,0.0006020069122314453,0.0008
HTN,lazy,0.05,9,5,True,17,3,0.0013737678527832031,0.00045792261759440106,0.0016
HTN,lazy,0.05,10,5,False,0,2,0.00013017654418945312,6.508827209472656e-05,0.0001
HTN,lazy,0.05,11,5,True,16,1,0.0006380081176757812,0.0006380081176757812,0.0008
HTN,lazy,0.05,12,5,True,17,2,0.0011186599731445312,0.0005593299865722656,0.0013
HTN,lazy,0.05,13,5,True,15,1,0.0006520748138427734,0.0006520748138427734,0.0008
HTN,lazy,0.05,14,5,True,16,1,0.0006477832794189453,0.0006477832794189453,0.0008
HTN,lazy,0.05,15,5,True,17,3,0.0017123222351074219,0.0005707740783691406,0.002
HTN,lazy,0.05,16,5,True,16,2,0.0008840560913085938,0.0004420280456542969,0.0011
HTN,lazy,0.05,17,5,True,12,2,0.0005629062652587891,0.00028145313262939453,0.0007
HTN,lazy,0.05,18,5,True,13,1,0.0005559921264648438,0.0005559921264648438,0.0007
HTN,lazy,0.05,19,5,True,8,1,0.00033783912658691406,0.00033783912658691406,0.0004
HTN,lazy,0.05,20,5,True,15,1,0.0006000995635986328,0.0006000995635986328,0.0008
HTN,lazy,0.05,21,5,True,14,2,0.0006856918334960938,0.0003428459167480469,0.0009
HTN,lazy,0.05,22,5,True,14,2,0.0009732246398925781,0.00048661231994628906,0.0011
HTN,lazy,0.05,23,5,True,16,2,0.0007910728454589844,0.0003955364227294922,0.001
HTN,lazy,0.05,24,5,True,12,1,0.00047516822814941406,0.00047516822814941406,0.0006
HTN,lazy,0.05,25,5,True,19,2,0.001157999038696289,0.0005789995193481445,0.0014
HTN,lazy,0.05,26,5,True,15,2,0.0009577274322509766,0.0004788637161254883,0.0011
HTN,lazy,0.05,27,5,True,12,1,0.0005099773406982422,0.0005099773406982422,0.0007
HTN,lazy,0.05,28,5,True,18,2,0.0008578300476074219,0.00042891502380371094,0.0011
HTN,lazy,0.05,29,5,True,17,1,0.000637054443359375,0.000637054443359375,0.0008
HTN,lazy,0.1,0,5,True,15,1,0.0006780624389648438,0.0006780624389648438,0.0009
HTN,lazy,0.1,1,5,True,14,3,0.0008988380432128906,0.00029961268107096356,0.0011
HTN,lazy,0.1,2,5,True,12,3,0.0011451244354248047,0.00038170814514160156,0.0013
HTN,lazy,0.1,3,5,True,14,3,0.0012125968933105469,0.00040419896443684894,0.0014
HTN,lazy,0.1,4,5,True,14,2,0.001096963882446289,0.0005484819412231445,0.0013
HTN,lazy,0.1,5,5,True,11,2,0.0006005764007568359,0.00030028820037841797,0.0008
HTN,lazy,0.1,6,5,True,11,2,0.0007159709930419922,0.0003579854965209961,0.0009
HTN,lazy,0.1,7,5,True,16,6,0.0018215179443359375,0.00030358632405598957,0.0021
HTN,lazy,0.1,8,5,True,16,2,0.0010256767272949219,0.0005128383636474609,0.0012
HTN,lazy,0.1,9,5,True,18,4,0.0016689300537109375,0.0004172325134277344,0.0019
HTN,lazy,0.1,10,5,False,0,2,0.00012302398681640625,6.151199340820312e-05,0.0001
HTN,lazy,0.1,11,5,True,19,4,0.0012693405151367188,0.0003173351287841797,0.0015
HTN,lazy,0.1,12,5,True,17,2,0.0011038780212402344,0.0005519390106201172,0.0013
HTN,lazy,0.1,13,5,True,15,1,0.0006060600280761719,0.0006060600280761719,0.0008
HTN,lazy,0.1,14,5,True,16,1,0.0006401538848876953,0.0006401538848876953,0.0008
HTN,lazy,0.1,15,5,True,17,3,0.0016627311706542969,0.0005542437235514323,0.0019
HTN,lazy,0.1,16,5,True,16,2,0.0008881092071533203,0.00044405460357666016,0.0011
HTN,lazy,0.1,17,5,True,12,2,0.0005631446838378906,0.0002815723419189453,0.0007
HTN,lazy,0.1,18,5,True,13,1,0.0005147457122802734,0.0005147457122802734,0.0007
HTN,lazy,0.1,19,5,True,8,1,0.0003228187561035156,0.0003228187561035156,0.0004
HTN,lazy,0.1,20,5,True,15,1,0.0005891323089599609,0.0005891323089599609,0.0008
HTN,lazy,0.1,21,5,True,14,2,0.0006303787231445312,0.0003151893615722656,0.0008
HTN,lazy,0.1,22,5,True,14,2,0.0009434223175048828,0.0004717111587524414,0.0011
HTN,lazy,0.1,23,5,True,18,4,0.001953601837158203,0.0004884004592895508,0.0024
HTN,lazy,0.1,24,5,True,13,2,0.00083160400390625,0.000415802001953125,0.001
HTN,lazy,0.1,25,5,True,19,2,0.0013937950134277344,0.0006968975067138672,0.0017
HTN,lazy,0.1,26,5,True,16,3,0.0014460086822509766,0.00048200289408365887,0.0017
HTN,lazy,0.1,27,5,True,13,2,0.0009431838989257812,0.0004715919494628906,0.0011
HTN,lazy,0.1,28,5,True,19,3,0.0018367767333984375,0.0006122589111328125,0.0024
HTN,lazy,0.1,29,5,True,17,1,0.0009479522705078125,0.0009479522705078125,0.0012
HTN,lookahead,0.0,0,5,True,15,1,0.0009131431579589844,0.0009131431579589844,0.0015
HTN,lookahead,0.0,1,5,True,12,1,0.0009338855743408203,0.0009338855743408203,0.0013
HTN,lookahead,0.0,2,5,True,10,1,0.0006248950958251953,0.0006248950958251953,0.0008
HTN,lookahead,0.0,3,5,True,12,1,0.0008268356323242188,0.0008268356323242188,0.0011
HTN,lookahead,0.0,4,5,True,13,1,0.000762939453125,0.000762939453125,0.001
HTN,lookahead,0.0,5,5,True,10,1,0.0005979537963867188,0.0005979537963867188,0.0008
HTN,lookahead,0.0,6,5,True,10,1,0.0007071495056152344,0.0007071495056152344,0.001
HTN,lookahead,0.0,7,5,True,11,1,0.0008749961853027344,0.0008749961853027344,0.0012
HTN,lookahead,0.0,8,5,True,15,1,0.0010428428649902344,0.0010428428649902344,0.0014
HTN,lookahead,0.0,9,5,True,15,1,0.0014672279357910156,0.0014672279357910156,0.0019
HTN,lookahead,0.0,10,5,False,0,2,0.0002276897430419922,0.0001138448715209961,0.0002
HTN,lookahead,0.0,11,5,True,16,1,0.0009839534759521484,0.0009839534759521484,0.0013
HTN,lookahead,0.0,12,5,True,16,1,0.0012080669403076172,0.0012080669403076172,0.0016
HTN,lookahead,0.0,13,5,True,15,1,0.0008680820465087891,0.0008680820465087891,0.0012
HTN,lookahead,0.0,14,5,True,16,1,0.0011930465698242188,0.0011930465698242188,0.0016
HTN,lookahead,0.0,15,5,True,15,1,0.0010309219360351562,0.0010309219360351562,0.0014
HTN,lookahead,0.0,16,5,True,15,1,0.0010190010070800781,0.0010190010070800781,0.0015
HTN,lookahead,0.0,17,5,True,11,1,0.0011680126190185547,0.0011680126190185547,0.0015
HTN,lookahead,0.0,18,5,True,13,1,0.0009210109710693359,0.0009210109710693359,0.0012
HTN,lookahead,0.0,19,5,True,8,1,0.0006499290466308594,0.0006499290466308594,0.001
HTN,lookahead,0.0,20,5,True,15,1,0.001043081283569336,0.001043081283569336,0.0014
HTN,lookahead,0.0,21,5,True,13,1,0.0010671615600585938,0.0010671615600585938,0.0014
HTN,lookahead,0.0,22,5,True,13,1,0.0041539669036865234,0.0041539669036865234,0.0046
HTN,lookahead,0.0,23,5,True,15,1,0.0014619827270507812,0.0014619827270507812,0.0018
HTN,lookahead,0.0,24,5,True,12,1,0.0007138252258300781,0.0007138252258300781,0.0009
HTN,lookahead,0.0,25,5,True,18,1,0.0010251998901367188,0.0010251998901367188,0.0013
HTN,lookahead,0.0,26,5,True,14,1,0.0030128955841064453,0.0030128955841064453,0.0033
HTN,lookahead,0.0,27,5,True,12,1,0.0007228851318359375,0.0007228851318359375,0.001
HTN,lookahead,0.0,28,5,True,17,1,0.000988006591796875,0.000988006591796875,0.0014
HTN,lookahead,0.0,29,5,True,17,1,0.001027822494506836,0.001027822494506836,0.0014
HTN,lookahead,0.05,0,5,True,15,1,0.0009770393371582031,0.0009770393371582031,0.0013
HTN,lookahead,0.05,1,5,True,13,2,0.0011670589447021484,0.0005835294723510742,0.0015
HTN,lookahead,0.05,2,5,True,10,1,0.0006880760192871094,0.0006880760192871094,0.0009
HTN,lookahead,0.05,3,5,True,13,2,0.0019881725311279297,0.0009940862655639648,0.0023
HTN,lookahead,0.05,4,5,True,13,1,0.0009100437164306641,0.0009100437164306641,0.0013
HTN,lookahead,0.05,5,5,True,11,2,0.0029609203338623047,0.0014804601669311523,0.0033
HTN,lookahead,0.05,6,5,True,11,2,0.0013720989227294922,0.0006860494613647461,0.0018
HTN,lookahead,0.05,7,5,True,12,2,0.0017740726470947266,0.0008870363235473633,0.0023
HTN,lookahead,0.05,8,5,True,15,1,0.0010118484497070312,0.0010118484497070312,0.0013
HTN,lookahead,0.05,9,5,True,17,3,0.0030329227447509766,0.0010109742482503254,0.0034
HTN,lookahead,0.05,10,5,False,0,2,0.00019216537475585938,9.608268737792969e-05,0.0002
HTN,lookahead,0.05,11,5,True,16,1,0.0009069442749023438,0.0009069442749023438,0.0012
HTN,lookahead,0.05,12,5,True,17,2,0.001895904541015625,0.0009479522705078125,0.0023
HTN,lookahead,0.05,13,5,True,15,1,0.0008709430694580078,0.0008709430694580078,0.0011
HTN,lookahead,0.05,14,5,True,16,1,0.0009109973907470703,0.0009109973907470703,0.0013
HTN,lookahead,0.05,15,5,True,17,3,0.0023560523986816406,0.0007853507995605469,0.0027
HTN,lookahead,0.05,16,5,True,16,2,0.0013768672943115234,0.0006884336471557617,0.0017
HTN,lookahead,0.05,17,5,True,12,2,0.0009946823120117188,0.0004973411560058594,0.0013
HTN,lookahead,0.05,18,5,True,13,1,0.0007638931274414062,0.0007638931274414062,0.0011
HTN,lookahead,0.05,19,5,True,8,1,0.0005049705505371094,0.0005049705505371094,0.0009
HTN,lookahead,0.05,20,5,True,15,1,0.0010027885437011719,0.0010027885437011719,0.0013
HTN,lookahead,0.05,21,5,True,14,2,0.0010418891906738281,0.0005209445953369141,0.0013
HTN,lookahead,0.05,22,5,True,14,2,0.001985788345336914,0.000992894172668457,0.0026
HTN,lookahead,0.05,23,5,True,16,2,0.0011970996856689453,0.0005985498428344727,0.0016
HTN,lookahead,0.05,24,5,True,12,1,0.0009148120880126953,0.0009148120880126953,0.0014
HTN,lookahead,0.05,25,5,True,19,2,0.002038240432739258,0.001019120216369629,0.0024
HTN,lookahead,0.05,26,5,True,15,2,0.0014450550079345703,0.0007225275039672852,0.0017
